Time,Data
6379540000,-315275
6384660000,-317732
6389780000,-307501
6394900000,-284780
6400020000,-250599
6405140000,-206306
6410260000,-153771
6415380000,-94982
6420500000,-32294
6425620000,31441
6430740000,94133
6435860000,152959
6440980000,205683
6446100000,250046
6451220000,284380
6456340000,307226
6461460000,317731
6466580000,315391
6471700000,300360
6476820000,273240
6481940000,235101
6487060000,187486
6492180000,132280
6497300000,71857
6502420000,8428
6507540000,-55302
6512660000,-116798
6517780000,-173584
6522900000,-223378
6528020000,-264190
6533140000,-294340
6538260000,-312644
6543380000,-318326
6548500000,-311240
6553620000,-291584
6558740000,-260155
6563860000,-218232
6568980000,-167568
6574100000,-110148
6579220000,-48176
6584340000,15521
6589460000,78724
6594580000,138731
6599700000,193209
6604820000,239833
6609940000,276827
6615060000,302644
6620180000,316299
6625300000,317181
6630420000,305283
6635540000,281101
6640660000,245594
6645780000,200183
6650900000,146662
6656020000,87337
6661140000,24427
6666260000,-39491
6671380000,-101760
6676500000,-159971
6681620000,-211691
6686740000,-254930
6691860000,-287877
6696980000,-309225
6702100000,-318114
6707220000,-314194
6712340000,-297652
6717460000,-269050
6722580000,-229609
6727700000,-180943
6732820000,-125027
6737940000,-63947
6743060000,-429
6748180000,63107
6753300000,124163
6758420000,180236
6763540000,229021
6768660000,268569
6773780000,297304
6778900000,314063
6784020000,318170
6789140000,309436
6794260000,288253
6799380000,255466
6804500000,212366
6809620000,160687
6814740000,102589
6819860000,40357
6824980000,-23571
6830100000,-86468
6835220000,-145953
6840340000,-199467
6845460000,-245028
6850580000,-280686
6855700000,-305022
6860820000,-317102
6865940000,-316354
6871060000,-302967
6876180000,-277263
6881300000,-240408
6886420000,-193866
6891540000,-139582
6896660000,-79560
6901780000,-16381
6906900000,47333
6912020000,109285
6917140000,166809
6922260000,217628
6927380000,259634
6932500000,291210
6937620000,311037
6942740000,318354
6947860000,312807
6952980000,294679
6958100000,264688
6963220000,224015
6968340000,174309
6973460000,117580
6978580000,56181
6983700000,-7584
6988820000,-70970
6993940000,-131544
6999060000,-186762
7004180000,-234499
7009300000,-272784
7014420000,-300059
7019540000,-315275
7024660000,-317732
7029780000,-307501
7034900000,-284780
7040020000,-250599
7045140000,-206306
7050260000,-153771
7055380000,-94982
7060500000,-32294
7065620000,31441
7070740000,94133
7075860000,152959
7080980000,205683
7086100000,250046
7091220000,284380
7096340000,307226
7101460000,317731
7106580000,315391
7111700000,300360
7116820000,273240
7121940000,235101
7127060000,187486
7132180000,132280
7137300000,71857
7142420000,8428
7147540000,-55299
7152660000,-116799
7157780000,-173586
7162900000,-223378
7168020000,-264190
7173140000,-294340
7178260000,-312644
7183380000,-318326
7188500000,-311240
7193620000,-291584
7198740000,-260155
7203860000,-218232
7208980000,-167568
7214100000,-110148
7219220000,-48176
7224340000,15521
7229460000,78724
7234580000,138731
7239700000,193209
7244820000,239833
7249940000,276827
7255060000,302644
7260180000,316299
7265300000,317181
7270420000,305283
7275540000,281101
7280660000,245594
7285780000,200183
7290900000,146662
7296020000,87337
7301140000,24427
7306260000,-39491
7311380000,-101760
7316500000,-159971
7321620000,-211691
7326740000,-254930
7331860000,-287877
7336980000,-309225
7342100000,-318114
7347220000,-314194
7352340000,-297652
7357460000,-269050
7362580000,-229609
7367700000,-180943
7372820000,-125027
7377940000,-63947
7383060000,-429
7388180000,63107
7393300000,124163
7398420000,180236
7403540000,229021
7408660000,268569
7413780000,297304
7418900000,314063
7424020000,318170
7429140000,309436
7434260000,288253
7439380000,255466
7444500000,212366
7449620000,160687
7454740000,102589
7459860000,40357
7464980000,-23571
7470100000,-86468
7475220000,-145953
7480340000,-199467
7485460000,-245028
7490580000,-280686
7495700000,-305022
7500820000,-317102
7505940000,-316354
7511060000,-302967
7516180000,-277263
7521300000,-240408
7526420000,-193866
7531540000,-139582
7536660000,-79560
7541780000,-16381
7546900000,47333
7552020000,109285
7557140000,166809
7562260000,217628
7567380000,259634
7572500000,291210
7577620000,311037
7582740000,318354
7587860000,312807
7592980000,294679
7598100000,264688
7603220000,224015
7608340000,174309
7613460000,117580
7618580000,56181
7623700000,-7584
7628820000,-70970
7633940000,-131544
7639060000,-186762
7644180000,-234499
7649300000,-272784
7654420000,-300059
7659540000,-315275
7664660000,-317732
7669780000,-307501
7674900000,-284780
7680020000,-250599
7685140000,-206306
7690260000,-153771
7695380000,-94982
7700500000,-32294
7705620000,31441
7710740000,94133
7715860000,152959
7720980000,205683
7726100000,250046
7731220000,284380
7736340000,307226
7741460000,317731
7746580000,315391
7751700000,300360
7756820000,273240
7761940000,235101
7767060000,187486
7772180000,132280
7777300000,71857
7782420000,8428
7787540000,-55299
7792660000,-116799
7797780000,-173586
7802900000,-223378
7808020000,-264190
7813140000,-294340
7818260000,-312644
7823380000,-318326
7828500000,-311240
7833620000,-291584
7838740000,-260155
7843860000,-218232
7848980000,-167568
7854100000,-110148
7859220000,-48176
7864340000,15521
7869460000,78724
7874580000,138731
7879700000,193209
7884820000,239833
7889940000,276827
7895060000,302644
7900180000,316299
7905300000,317181
7910420000,305283
7915540000,281101
7920660000,245594
7925780000,200183
7930900000,146662
7936020000,87337
7941140000,24427
7946260000,-39491
7951380000,-101760
7956500000,-159971
7961620000,-211691
7966740000,-254930
7971860000,-287877
7976980000,-309225
7982100000,-318114
7987220000,-314194
7992340000,-297652
7997460000,-269050
8002580000,-229609
8007700000,-180943
8012820000,-125027
8017940000,-63949
8023060000,-429
8028180000,63109
8033300000,124163
8038420000,180236
8043540000,229021
8048660000,268569
8053780000,297304
8058900000,314063
8064020000,318170
8069140000,309436
8074260000,288253
8079380000,255466
8084500000,212366
8089620000,160687
8094740000,102589
8099860000,40357
8104980000,-23571
8110100000,-86468
8115220000,-145953
8120340000,-199467
8125460000,-245028
8130580000,-280686
8135700000,-305022
8140820000,-317102
8145940000,-316354
8151060000,-302967
8156180000,-277263
8161300000,-240408
8166420000,-193866
8171540000,-139582
8176660000,-79561
8181780000,-16383
8186900000,47336
8192020000,109285
8197140000,166809
8202260000,217628
8207380000,259634
8212500000,291210
8217620000,311037
8222740000,318354
8227860000,312807
8232980000,294678
8238100000,264687
8243220000,224017
8248340000,174309
8253460000,117580
8258580000,56181
8263700000,-7584
8268820000,-70970
8273940000,-131544
8279060000,-186762
8284180000,-234499
8289300000,-272784
8294420000,-300059
8299540000,-315275
8304660000,-317732
8309780000,-307501
8314900000,-284780
8320020000,-250599
8325140000,-206306
8330260000,-153771
8335380000,-94982
8340500000,-32298
8345620000,31445
8350740000,94133
8355860000,152959
8360980000,205683
8366100000,250046
8371220000,284380
8376340000,307226
8381460000,317731
8386580000,315391
8391700000,300359
8396820000,273237
8401940000,235104
8407060000,187486
8412180000,132280
8417300000,71857
8422420000,8428
8427540000,-55299
8432660000,-116799
8437780000,-173586
8442900000,-223378
8448020000,-264190
8453140000,-294340
8458260000,-312644
8463380000,-318326
8468500000,-311240
8473620000,-291584
8478740000,-260155
8483860000,-218232
8488980000,-167568
8494100000,-110148
8499220000,-48179
8504340000,15523
8509460000,78725
8514580000,138731
8519700000,193209
8524820000,239833
8529940000,276827
8535060000,302644
8540180000,316299
8545300000,317179
8550420000,305282
8555540000,281100
8560660000,245597
8565780000,200183
8570900000,146662
8576020000,87337
8581140000,24427
8586260000,-39491
8591380000,-101760
8596500000,-159971
8601620000,-211691
8606740000,-254930
8611860000,-287877
8616980000,-309225
8622100000,-318114
8627220000,-314194
8632340000,-297652
8637460000,-269050
8642580000,-229609
8647700000,-180943
8652820000,-125027
8657940000,-63949
8663060000,-429
8668180000,63109
8673300000,124163
8678420000,180236
8683540000,229021
8688660000,268569
8693780000,297304
8698900000,314063
8704020000,318170
8709140000,309432
8714260000,288254
8719380000,255467
8724500000,212367
8729620000,160687
8734740000,102589
8739860000,40357
8744980000,-23571
8750100000,-86468
8755220000,-145953
8760340000,-199467
8765460000,-245028
8770580000,-280686
8775700000,-305022
8780820000,-317102
8785940000,-316354
8791060000,-302967
8796180000,-277263
8801300000,-240408
8806420000,-193866
8811540000,-139582
8816660000,-79561
8821780000,-16383
8826900000,47336
8832020000,109285
8837140000,166809
8842260000,217628
8847380000,259634
8852500000,291210
8857620000,311037
8862740000,318354
8867860000,312803
8872980000,294681
8878100000,264688
8883220000,224017
8888340000,174309
8893460000,117580
8898580000,56181
8903700000,-7584
8908820000,-70970
8913940000,-131544
8919060000,-186762
8924180000,-234499
8929300000,-272784
8934420000,-300059
8939540000,-315275
8944660000,-317732
8949780000,-307501
8954900000,-284780
8960020000,-250599
8965140000,-206306
8970260000,-153771
8975380000,-94982
8980500000,-32298
8985620000,31445
8990740000,94133
8995860000,152959
9000980000,205683
9006100000,250046
9011220000,284380
9016340000,307226
9021460000,317731
9026580000,315389
9031700000,300360
9036820000,273239
9041940000,235104
9047060000,187486
9052180000,132280
9057300000,71857
9062420000,8428
9067540000,-55299
9072660000,-116799
9077780000,-173586
9082900000,-223378
9088020000,-264190
9093140000,-294340
9098260000,-312644
9103380000,-318326
9108500000,-311240
9113620000,-291584
9118740000,-260155
9123860000,-218232
9128980000,-167568
9134100000,-110148
9139220000,-48179
9144340000,15523
9149460000,78725
9154580000,138731
9159700000,193209
9164820000,239833
9169940000,276827
